Word,Gender,WdNum,ValMn,ValSd,AroMn,AroSD,DomMN,DomSD,Frequency
cannon,Female,678,4.05,1.64,4.25,2.83,4.85,2.18,7
capable,All,62,7.16,1.39,5.08,2.07,6.47,1.94,66
capable,Male,62,7.0,1.31,5.6,1.68,5.73,1.98,66
capable,Female,62,7.26,1.45,4.74,2.26,6.96,1.8,66
car,All,551,7.73,1.63,6.24,2.04,6.98,2.06,274
car,Male,551,7.84,1.28,5.64,2.16,6.6,2.1,274
car,Female,551,7.62,1.92,6.81,1.77,7.35,2.0,274
carcass,All,679,3.34,1.92,4.83,2.07,4.9,1.79,7
carcass,Male,679,4.21,1.81,5.11,1.79,5.53,1.65,7
carcass,Female,679,2.59,1.71,4.59,2.3,4.36,1.76,7
carefree,All,63,7.54,1.38,4.17,2.84,5.78,2.5,9
carefree,Male,63,7.75,1.36,2.67,2.42,5.33,2.71,9
carefree,Female,63,7.45,1.4,4.82,2.79,5.96,2.43,9
caress,All,64,7.84,1.16,5.14,3.0,5.83,2.13,1
caress,Male,64,7.58,1.31,4.5,3.32,6.08,1.93,1
caress,Female,64,7.94,1.11,5.39,2.89,5.73,2.23,1
cash,All,503,8.37,1.0,7.37,2.21,6.96,2.39,36
cash,Male,503,8.28,0.94,7.08,2.77,6.76,2.31,36
cash,Female,503,8.46,1.07,7.65,1.5,7.15,2.49,36
casino,All,680,6.81,1.66,6.51,2.12,5.12,2.15,2
casino,Male,680,6.9,1.79,6.76,1.97,5.14,2.22,2
casino,Female,680,6.71,1.55,6.27,2.27,5.1,2.14,2
cat,All,504,5.72,2.43,4.38,2.24,6.16,2.05,.
cat,Male,504,5.33,2.6,4.08,2.32,6.54,2.0,.
cat,Female,504,6.08,2.26,4.65,2.17,5.81,2.08,.
cell,All,587,3.82,1.7,4.08,2.19,4.12,2.13,65
cell,Male,587,3.33,1.93,3.67,2.44,4.12,2.36,65
cell,Female,587,4.27,1.34,4.46,1.9,4.12,1.93,65
cellar,All,681,4.32,1.68,4.39,2.33,4.66,1.61,26
cellar,Male,681,4.45,1.57,4.3,2.45,4.9,1.94,26
cellar,Female,681,4.21,1.79,4.46,2.28,4.46,1.28,26
cemetery,All,65,2.63,1.4,4.82,2.66,4.27,2.14,15
cemetery,Male,65,3.42,1.38,4.45,2.25,4.73,2.05,15
cemetery,Female,65,2.22,1.24,5.0,2.88,4.05,2.19,15
chair,All,66,5.08,0.98,3.15,1.77,4.56,1.6,66
chair,Male,66,5.3,0.95,3.4,1.84,4.7,0.67,66
chair,Female,66,5.0,1.0,3.07,1.77,4.52,1.82,66
champ,All,682,7.18,1.97,6.0,2.43,6.77,2.0,1
champ,Male,682,7.22,1.4,6.22,1.48,6.28,1.87,1
champ,Female,682,7.15,2.31,5.85,2.94,7.12,2.05,1
champion,All,67,8.44,0.9,5.85,3.15,6.5,2.85,23
champion,Male,67,8.42,1.08,4.83,3.43,6.08,3.45,23
champion,Female,67,8.45,0.83,6.29,2.98,6.68,2.6,23
chance,All,683,6.02,1.77,5.38,2.58,4.64,1.93,131
chance,Male,683,6.42,1.61,5.63,2.43,4.74,1.76,131
chance,Female,683,5.72,1.86,5.4,2.55,4.58,2.08,131
chaos,All,684,4.17,2.36,6.67,2.06,3.86,1.95,17
chaos,Male,684,4.5,2.16,6.3,1.81,4.0,1.59,17
chaos,Female,684,3.86,2.53,7.0,2.25,3.73,2.25,17
charm,All,68,6.77,1.58,5.16,2.25,5.57,2.25,26
charm,Male,68,6.67,1.63,5.47,2.42,5.87,1.96,26
charm,Female,68,6.83,1.58,5.0,2.19,5.41,2.4,26
cheer,All,69,8.1,1.17,6.12,2.45,6.0,2.06,8
cheer,Male,69,7.7,1.38,5.95,2.37,5.55,1.99,8
cheer,Female,69,8.5,0.76,6.3,2.58,6.45,2.09,8
child,All,70,7.08,1.98,5.55,2.29,5.1,2.3,213
child,Male,70,6.15,2.23,5.75,1.77,5.35,2.25,213
child,Female,70,8.0,1.12,5.35,2.74,4.85,2.37,213
chin,All,685,5.29,1.27,3.31,1.98,5.26,1.48,27
chin,Male,685,5.36,1.43,3.64,2.11,5.41,1.71,27
chin,Female,685,5.2,1.11,2.95,1.82,5.1,1.21,27
chocolate,All,505,6.88,1.89,5.29,2.55,5.18,1.97,9
chocolate,Male,505,6.8,1.83,4.88,2.67,5.36,2.06,9
chocolate,Female,505,6.96,1.99,5.69,2.41,5.0,1.9,9
christmas,All,686,7.8,1.55,6.27,2.56,5.37,2.09,27
christmas,Male,686,7.58,1.61,6.05,2.68,5.37,2.27,27
christmas,Female,686,7.96,1.51,6.42,2.52,5.38,2.0,27
church,All,71,6.28,2.31,4.34,2.45,5.0,2.42,348
church,Male,71,5.29,2.67,4.69,3.09,4.62,2.9,348
church,Female,71,6.81,1.94,4.16,2.1,5.2,2.16,348
circle,All,687,5.67,1.26,3.86,2.13,5.03,1.46,60
circle,Male,687,5.3,1.17,3.65,1.93,5.16,1.3,60
circle,Female,687,6.0,1.27,4.24,2.19,4.9,1.61,60
circus,All,72,7.3,1.84,5.97,2.59,5.39,2.25,7
circus,Male,72,6.76,1.52,5.38,2.47,5.0,2.1,7
circus,Female,72,7.75,2.0,6.45,2.65,5.7,2.36,7
city,All,73,6.03,1.37,5.24,2.53,5.74,2.08,393
city,Male,73,5.67,1.5,4.53,2.07,4.53,1.73,393
city,Female,73,6.26,1.25,5.7,2.74,6.52,1.93,393
cliff,All,553,4.67,2.08,6.25,2.15,4.35,2.11,11
cliff,Male,553,4.96,2.23,5.88,2.3,5.04,1.84,11
cliff,Female,553,4.38,1.92,6.62,1.98,3.69,2.19,11
clock,All,688,5.14,1.54,4.02,2.54,4.67,1.97,20
clock,Male,688,4.86,1.73,3.95,2.38,4.59,1.76,20
clock,Female,688,5.45,1.28,4.1,2.77,4.75,2.22,20
clothing,All,74,6.54,1.85,4.78,2.88,5.33,2.14,20
clothing,Male,74,5.93,2.16,4.15,2.91,5.33,2.06,20
clothing,Female,74,6.88,1.59,5.12,2.86,5.33,2.22,20
clouds,All,533,6.18,2.18,3.3,2.08,5.22,1.66,38
clouds,Male,533,6.42,2.19,3.46,2.28,5.46,1.79,38
clouds,Female,533,5.96,2.2,3.15,1.91,5.0,1.52,38
clumsy,All,689,4.0,2.22,5.18,2.4,3.86,1.79,6
clumsy,Male,689,4.06,2.07,4.78,2.29,4.06,1.73,6
clumsy,Female,689,3.96,2.36,5.46,2.49,3.73,1.85,6
coarse,All,690,4.55,1.42,4.21,1.84,5.0,1.43,10
coarse,Male,690,4.65,1.09,4.5,1.57,5.05,1.32,10
coarse,Female,690,4.45,1.68,4.14,1.9,4.95,1.56,10
coast,All,691,5.98,1.86,4.59,2.31,5.67,1.71,61
coast,Male,691,6.06,1.7,4.83,2.46,5.71,1.79,61
coast,Female,691,5.92,2.0,4.42,2.23,5.65,1.7,61
cockroach,All,75,2.81,2.11,6.11,2.78,4.74,2.58,2
cockroach,Male,75,3.73,2.05,5.33,2.66,5.47,2.5,2
cockroach,Female,75,2.38,2.03,6.47,2.81,4.41,2.59,2
coffin,All,76,2.56,1.96,5.03,2.79,4.08,2.54,7
coffin,Male,76,3.0,2.11,4.3,2.79,4.2,2.53,7
coffin,Female,76,2.41,1.92,5.28,2.79,4.03,2.58,7
coin,All,692,6.02,1.96,4.29,2.48,5.66,1.68,10
coin,Male,692,5.76,2.32,4.48,2.75,5.86,1.96,10
coin,Female,692,6.3,1.49,4.1,2.22,5.45,1.36,10
cold,All,693,4.02,1.99,5.19,2.23,4.69,1.73,171
cold,Male,693,3.9,1.94,5.4,1.85,4.65,1.76,171
cold,Female,693,4.14,2.08,5.0,2.56,4.73,1.75,171
color,All,694,7.02,1.57,4.73,2.64,6.17,1.82,141
color,Male,694,7.05,1.65,4.63,2.71,6.32,1.97,141
color,Female,694,7.0,1.54,4.82,2.63,6.05,1.7,141
column,All,695,5.17,0.85,3.62,1.91,4.81,1.58,71
column,Male,695,5.15,1.04,3.7,2.05,5.25,1.71,71
column,Female,695,5.18,0.66,3.55,1.82,4.41,1.37,71
comedy,All,77,8.37,0.94,5.85,2.81,5.44,2.08,39
comedy,Male,77,8.0,0.95,6.36,2.06,4.82,1.99,39
comedy,Female,77,8.57,0.9,5.61,3.12,5.74,2.09,39
comfort,All,696,7.07,2.14,3.93,2.85,5.7,2.05,43
comfort,Male,696,6.45,2.21,4.35,2.87,5.7,2.08,43
comfort,Female,696,7.61,1.97,3.74,2.8,5.7,2.08,43
computer,All,552,6.24,1.61,4.75,1.93,5.29,1.99,13
computer,Male,552,6.12,1.92,4.52,2.06,5.08,2.06,13
computer,Female,552,6.35,1.26,4.96,1.8,5.5,1.94,13
concentrate,All,78,5.2,1.28,4.65,2.13,4.97,1.75,11
concentrate,Male,78,4.83,1.11,4.73,1.62,4.82,1.47,11
concentrate,Female,78,5.39,1.34,4.61,2.37,5.04,1.89,11
confident,All,79,7.98,1.29,6.22,2.41,7.68,1.94,16
confident,Male,79,7.73,1.28,6.53,2.5,7.2,2.4,16
confident,Female,79,8.12,1.31,6.04,2.39,7.96,1.61,16
confused,All,80,3.21,1.51,6.03,1.88,4.24,1.91,44
confused,Male,80,3.27,0.65,5.55,1.92,4.33,1.61,44
confused,Female,80,3.17,1.8,6.27,1.86,4.18,2.08,44
consoled,All,81,5.78,1.64,4.53,2.22,4.44,1.84,2
consoled,Male,81,5.71,1.65,4.94,2.02,4.81,1.83,2
consoled,Female,81,5.85,1.66,4.2,2.38,4.15,1.84,2
contempt,All,82,3.85,2.13,5.28,2.04,5.13,1.73,15
contempt,Male,82,4.2,1.87,4.9,0.88,5.5,1.18,15
contempt,Female,82,3.72,2.23,5.41,2.31,5.0,1.89,15
contents,All,83,4.89,0.89,4.32,2.14,4.85,1.49,16
contents,Male,83,4.73,1.03,4.07,2.28,4.87,1.19,16
contents,Female,83,4.97,0.82,4.44,2.09,4.84,1.63,16
context,All,84,5.2,1.38,4.22,2.24,5.17,1.39,2
context,Male,84,5.2,1.47,4.35,1.87,4.9,0.91,2
context,Female,84,5.19,1.33,4.12,2.52,5.38,1.65,2
controlling,All,85,3.8,2.25,6.1,2.19,5.17,3.15,23
controlling,Male,85,4.53,2.26,5.6,2.13,6.07,2.84,23
controlling,Female,85,3.38,2.17,6.38,2.21,4.65,3.25,23
cook,All,697,6.16,1.89,4.44,1.96,5.14,1.49,47
cook,Male,697,6.05,1.22,4.21,1.72,5.42,1.43,47
cook,Female,697,6.24,2.3,4.62,2.14,4.92,1.53,47
cord,All,698,5.1,1.09,3.54,2.09,5.0,1.22,6
cord,Male,698,4.95,1.31,3.84,1.95,5.0,1.46,6
cord,Female,698,5.23,0.87,3.27,2.21,5.0,1.02,6
cork,All,699,5.22,1.13,3.8,2.18,4.98,1.04,9
cork,Male,699,5.16,1.34,3.89,1.94,4.89,0.94,9
cork,Female,699,5.27,0.94,3.73,2.41,5.05,1.13,9
corner,All,700,4.36,1.21,3.91,1.92,4.12,1.66,115
corner,Male,700,4.33,1.32,3.62,1.99,3.86,1.85,115
corner,Female,700,4.38,1.12,4.38,1.66,4.36,1.47,115
corpse,All,86,2.18,1.48,4.74,2.94,3.59,2.44,7
corpse,Male,86,2.5,1.18,4.2,2.53,2.6,1.65,7
corpse,Female,86,2.07,1.58,4.93,3.09,3.93,2.59,7
corridor,All,701,4.88,1.14,3.63,2.41,5.0,1.48,17
corridor,Male,701,4.86,1.28,3.62,2.48,5.1,1.73,17
corridor,Female,701,4.9,1.02,3.65,2.39,4.9,1.21,17
corrupt,All,702,3.32,2.32,4.67,2.35,4.64,2.3,8
corrupt,Male,702,4.15,2.54,5.05,2.35,4.9,2.22,8
corrupt,Female,702,2.52,1.81,4.52,2.2,4.41,2.4,8
cottage,All,87,6.45,1.52,3.39,2.54,5.39,1.78,19
cottage,Male,87,5.87,0.99,4.2,2.6,4.93,1.58,19
cottage,Female,87,6.83,1.7,2.87,2.42,5.7,1.87,19
couple,All,506,7.41,1.97,6.39,2.31,6.02,2.28,122
couple,Male,506,6.84,1.77,5.36,2.4,6.08,1.91,122
couple,Female,506,7.96,2.03,7.38,1.75,5.96,2.63,122
cow,All,554,5.57,1.53,3.49,2.13,5.32,1.61,29
cow,Male,554,5.72,1.62,3.12,2.13,5.8,1.41,29
cow,Female,554,5.42,1.45,3.85,2.11,4.84,1.68,29
coward,All,703,2.74,1.64,4.07,2.19,2.83,1.61,8
coward,Male,703,2.75,1.77,3.9,2.1,2.75,1.52,8
coward,Female,703,2.73,1.55,4.23,2.31,2.91,1.72,8
cozy,All,88,7.39,1.53,3.32,2.28,4.89,2.28,1
cozy,Male,88,7.53,1.36,3.73,2.34,4.67,2.23,1
cozy,Female,88,7.3,1.66,3.04,2.25,5.04,2.34,1
crash,All,89,2.31,1.44,6.95,2.44,3.44,2.21,20
crash,Male,89,2.6,1.51,7.0,2.26,4.0,2.11,20
crash,Female,89,2.21,1.42,6.93,2.53,3.24,2.25,20
crime,All,704,2.89,2.06,5.41,2.69,4.12,2.24,34
crime,Male,704,3.55,2.44,5.0,2.96,4.68,2.38,34
crime,Female,704,2.33,1.52,5.75,2.45,3.67,2.06,34
criminal,All,705,2.93,1.66,4.79,2.51,3.34,1.73,24
criminal,Male,705,3.25,1.65,3.86,2.33,3.65,1.73,24
criminal,Female,705,2.62,1.66,5.68,2.4,3.05,1.72,24
crisis,All,706,2.74,2.23,5.44,3.07,3.6,2.47,82
crisis,Male,706,4.17,2.43,4.89,2.79,4.72,1.96,82
crisis,Female,706,1.72,1.37,6.08,3.09,2.75,2.51,82
crown,All,90,6.58,1.42,4.28,2.53,6.06,2.15,19
crown,Male,90,6.2,1.4,3.4,2.59,5.1,2.13,19
crown,Female,90,6.73,1.43,4.62,2.47,6.42,2.08,19
crucify,All,91,2.23,1.72,6.47,2.47,3.74,2.48,2
crucify,Male,91,2.53,1.68,5.8,2.98,3.8,2.11,2
crucify,Female,91,2.09,1.75,6.78,2.18,3.72,2.67,2
crude,All,707,3.12,1.65,5.07,2.37,4.27,1.94,15
crude,Male,707,3.74,1.59,5.0,2.11,4.84,1.77,15
crude,Female,707,2.59,1.53,5.14,2.62,3.77,1.97,15
cruel,All,92,1.97,1.67,5.68,2.65,4.24,2.84,15
cruel,Male,92,2.64,2.41,5.27,2.46,4.93,2.79,15
cruel,Female,92,1.57,0.84,5.96,2.79,3.78,2.84,15
crushed,All,93,2.21,1.74,5.52,2.87,3.36,2.69,10
crushed,Male,93,2.83,2.29,5.73,2.69,4.73,3.1,10
crushed,Female,93,1.86,1.28,5.41,3.02,2.68,2.23,10
crutch,All,708,3.43,1.62,4.14,2.05,3.91,1.79,1
crutch,Male,708,3.94,1.63,4.5,1.76,3.67,1.78,1
crutch,Female,708,3.08,1.55,3.88,2.23,4.08,1.81,1
cuddle,All,94,7.72,1.92,4.4,2.67,5.85,2.42,.
cuddle,Male,94,7.3,2.15,5.1,2.69,5.75,2.29,.
cuddle,Female,94,8.15,1.6,3.7,2.52,5.95,2.61,.
cuisine,All,709,6.64,1.48,4.39,1.99,5.41,1.19,1
cuisine,Male,709,6.89,1.64,4.83,1.95,5.5,1.34,1
cuisine,Female,709,6.46,1.36,4.08,2.0,5.35,1.09,1
curious,All,95,6.08,1.63,5.82,1.64,5.42,1.6,46
curious,Male,95,6.8,1.23,5.8,2.1,5.7,1.95,46
curious,Female,95,5.82,1.7,5.82,1.49,5.32,1.49,46
curtains,All,710,4.83,0.83,3.67,1.83,5.05,1.56,8
curtains,Male,710,5.0,0.58,3.65,1.98,5.11,1.49,8
curtains,Female,710,4.68,0.99,3.68,1.73,5.0,1.66,8
custom,All,96,5.85,1.53,4.66,2.12,5.0,1.87,14
custom,Male,96,5.53,1.41,4.67,2.23,4.87,2.03,14
custom,Female,96,6.04,1.59,4.65,2.1,5.08,1.81,14
cut,All,711,3.64,2.08,5.0,2.32,4.7,1.98,192
cut,Male,711,3.7,1.89,4.75,2.49,4.9,2.17,192
cut,Female,711,3.58,2.26,5.21,2.21,4.54,1.84,192
cute,All,97,7.62,1.01,5.53,2.71,4.86,2.32,5
cute,Male,97,7.24,0.97,6.38,2.16,4.88,2.53,5
cute,Female,97,7.95,0.94,4.85,2.96,4.85,2.21,5
cyclone,All,98,3.6,2.38,6.36,2.89,4.89,2.56,.
cyclone,Male,98,4.35,2.18,6.2,2.95,5.1,2.31,.
cyclone,Female,98,3.0,2.4,6.48,2.9,4.72,2.78,.
dagger,All,99,3.38,1.77,6.14,2.64,4.52,2.27,1
dagger,Male,99,4.53,1.81,5.47,2.87,4.47,1.84,1
dagger,Female,99,2.6,1.26,6.58,2.44,4.56,2.55,1
damage,All,712,3.05,1.65,5.57,2.26,3.88,1.86,33
damage,Male,712,3.7,1.75,5.05,2.26,4.2,1.99,33
damage,Female,712,2.45,1.34,6.05,2.21,3.59,1.74,33
dancer,All,507,7.14,1.56,6.0,2.2,6.02,1.93,31
dancer,Male,507,6.8,1.53,5.32,2.3,5.64,1.73,31
dancer,Female,507,7.46,1.56,6.65,1.92,6.38,2.08,31
danger,All,713,2.95,2.22,7.32,2.07,3.59,2.31,70
danger,Male,713,4.56,2.33,7.17,1.65,4.56,2.33,70
danger,Female,713,1.85,1.29,7.42,2.34,2.92,2.08,70
dark,All,714,4.71,2.36,4.28,2.21,4.84,2.15,185
dark,Male,714,4.9,1.81,4.48,1.81,4.38,1.72,185
dark,Female,714,4.52,2.84,4.29,2.45,5.27,2.45,185
dawn,All,715,6.16,2.33,4.39,2.81,5.16,2.23,28
dawn,Male,715,6.1,2.49,4.35,2.78,4.95,2.72,28
dawn,Female,715,6.21,2.25,4.42,2.89,5.33,1.76,28
daylight,All,716,6.8,2.17,4.77,2.5,5.48,2.14,15
daylight,Male,716,6.56,2.28,5.17,2.04,5.61,2.15,15
daylight,Female,716,6.96,2.13,4.5,2.77,5.38,2.17,15
dazzle,All,717,7.29,1.09,6.33,2.02,5.62,1.81,1
dazzle,Male,717,7.33,1.06,6.38,2.01,5.19,2.16,1
dazzle,Female,717,7.24,1.14,6.27,2.07,6.05,1.28,1
dead,All,588,1.94,1.76,5.73,2.73,2.84,2.32,174
dead,Male,588,2.48,2.29,5.4,2.84,2.96,2.42,174
dead,Female,588,1.42,0.76,6.04,2.63,2.73,2.25,174
death,All,100,1.61,1.4,4.59,3.07,3.47,2.5,277
death,Male,100,1.69,1.14,4.41,2.87,4.62,2.25,277
death,Female,100,1.55,1.61,4.75,3.29,2.55,2.35,277
debt,All,101,2.22,1.17,5.68,2.74,3.02,2.16,13
debt,Male,101,2.4,1.12,4.33,2.66,3.0,2.2,13
debt,Female,101,2.12,1.21,6.46,2.52,3.04,2.18,13
deceit,All,718,2.9,1.63,5.68,2.46,3.95,2.12,2
deceit,Male,718,3.26,1.63,5.63,2.45,4.63,1.89,2
deceit,Female,718,2.57,1.6,6.0,2.24,3.33,2.18,2
decompose,All,102,3.2,1.81,4.65,2.39,4.02,1.91,1
decompose,Male,102,3.95,1.73,4.2,2.4,4.45,1.96,1
decompose,Female,102,2.62,1.68,5.0,2.37,3.69,1.85,1
decorate,All,719,6.93,1.3,5.14,2.39,6.05,1.86,2
decorate,Male,719,6.5,1.36,5.0,2.68,5.9,2.02,2
decorate,Female,719,7.32,1.13,5.52,1.81,6.19,1.72,2
defeated,All,103,2.34,1.66,5.09,3.0,3.11,2.34,15
defeated,Male,103,2.42,1.5,4.35,2.7,3.0,2.1,15
defeated,Female,103,2.28,1.79,5.65,3.14,3.19,2.55,15
defiant,All,104,4.26,2.12,6.1,2.51,5.77,2.4,3
defiant,Male,104,4.64,1.86,5.27,2.87,4.91,1.22,3
defiant,Female,104,4.11,2.23,6.41,2.34,6.11,2.67,3
deformed,All,720,2.41,1.66,4.07,2.34,3.95,2.18,.
deformed,Male,720,2.95,1.75,3.62,2.18,4.29,2.43,.
deformed,Female,720,1.85,1.39,4.55,2.46,3.6,1.88,.
delayed,All,721,3.07,1.74,5.62,2.39,3.64,1.94,25
delayed,Male,721,3.15,2.01,5.1,2.17,3.4,1.6,25
delayed,Female,721,3.0,1.51,6.09,2.52,3.86,2.21,25
delight,All,105,8.26,1.04,5.44,2.88,5.79,2.24,29
delight,Male,105,7.92,1.31,5.73,2.49,5.09,2.02,29
delight,Female,105,8.43,0.84,5.3,3.1,6.13,2.3,29
demon,All,106,2.11,1.56,6.76,2.68,4.89,2.89,9
demon,Male,106,3.2,1.61,5.93,3.01,5.07,2.52,9
demon,Female,106,1.39,1.03,7.32,2.34,4.78,3.16,9
dentist,All,589,4.02,2.23,5.73,2.13,3.8,2.16,12
dentist,Male,589,3.56,2.22,5.6,2.55,3.6,2.04,12
dentist,Female,589,4.46,2.2,5.85,1.67,4.0,2.3,12
depressed,All,107,1.83,1.42,4.72,2.95,2.74,2.13,11
depressed,Male,107,2.33,1.45,4.0,2.33,2.87,1.68,11
depressed,Female,107,1.58,1.36,5.06,3.18,2.68,2.34,11
depression,All,108,1.85,1.67,4.54,3.19,2.91,2.27,24
depression,Male,108,2.6,2.21,4.55,3.05,2.9,2.07,24
depression,Female,108,1.27,0.72,4.54,3.35,2.92,2.45,24
derelict,All,722,4.28,1.84,4.1,1.94,4.78,1.56,1
derelict,Male,722,4.45,1.93,4.1,1.68,4.95,1.73,1
derelict,Female,722,4.1,1.77,4.09,2.18,4.62,1.4,1
deserter,All,109,2.45,1.8,5.5,2.55,3.77,2.29,.
deserter,Male,109,3.53,2.13,4.8,2.31,4.8,2.31,.
deserter,Female,109,1.9,1.32,5.86,2.63,3.24,2.13,.
desire,All,508,7.69,1.39,7.35,1.76,6.49,1.83,79
desire,Male,508,7.72,1.31,7.24,1.92,6.2,1.94,79
desire,Female,508,7.65,1.5,7.46,1.63,6.77,1.7,79
despairing,All,110,2.43,1.47,5.68,2.37,3.43,2.11,4
despairing,Male,110,2.93,2.05,5.6,2.41,4.07,2.25,4
despairing,Female,110,2.19,1.06,5.72,2.39,3.12,2.01,4
despise,All,111,2.03,1.38,6.28,2.43,4.72,2.8,7
despise,Male,111,2.08,1.19,5.86,2.35,5.38,2.4,7
despise,Female,111,2.0,1.5,6.52,2.49,4.38,2.97,7
destroy,All,112,2.64,2.03,6.83,2.38,4.94,2.86,48
destroy,Male,112,4.0,2.75,6.3,2.91,6.1,2.42,48
destroy,Female,112,2.12,1.42,7.04,2.18,4.5,2.93,48
destruction,All,723,3.16,2.44,5.82,2.71,3.93,2.29,38
destruction,Male,723,4.78,2.46,6.17,2.53,5.11,2.0,38
destruction,Female,723,2.04,1.71,5.58,2.86,3.12,2.14,38
detached,All,113,3.86,1.88,4.26,2.57,3.63,2.15,12
detached,Male,113,3.82,2.04,4.19,2.51,3.73,1.91,12
detached,Female,113,3.88,1.82,4.31,2.65,3.58,2.32,12
detail,All,724,5.55,1.58,4.1,2.24,5.21,1.6,72
detail,Male,724,5.73,1.49,4.36,2.36,5.45,1.6,72
detail,Female,724,5.35,1.69,3.8,2.12,4.95,1.61,72
detest,All,114,2.17,1.3,6.06,2.39,5.83,2.6,1
detest,Male,114,2.8,1.55,5.8,2.2,5.8,2.1,1
detest,Female,114,1.92,1.13,6.15,2.49,5.85,2.81,1
devil,All,115,2.21,1.99,6.07,2.61,5.35,2.75,25
devil,Male,115,2.59,2.12,5.06,2.73,5.82,2.6,25
devil,Female,115,1.96,1.91,6.76,2.33,5.04,2.85,25
devoted,All,116,7.41,1.37,5.23,2.21,6.18,2.36,51
devoted,Male,116,7.1,1.45,5.7,1.77,4.9,2.64,51
devoted,Female,116,7.52,1.35,5.07,2.34,6.62,2.13,51
diamond,All,117,7.92,1.2,5.53,2.96,5.54,2.28,8
diamond,Male,117,7.92,1.38,5.0,2.97,5.36,2.76,8
diamond,Female,117,7.92,1.13,5.8,2.97,5.64,2.02,8
dignified,All,118,7.1,1.26,4.12,2.29,6.12,2.4,7
dignified,Male,118,6.82,1.01,3.41,1.97,6.06,2.49,7
dignified,Female,118,7.29,1.4,4.62,2.41,6.15,2.39,7
dinner,All,509,7.16,1.5,5.43,2.14,6.1,1.87,91
dinner,Male,509,7.48,1.19,5.52,2.4,6.48,1.78,91
dinner,Female,509,6.85,1.71,5.35,1.9,5.73,1.91,91
diploma,All,119,8.0,1.39,5.67,2.8,6.76,2.5,.
diploma,Male,119,7.64,1.12,5.64,2.25,6.42,2.47,.
diploma,Female,119,8.18,1.5,5.68,3.09,6.95,2.55,.
dirt,All,725,4.17,1.77,3.76,2.26,4.83,1.82,43
dirt,Male,725,4.41,1.92,3.41,2.34,4.95,2.36,43
dirt,Female,725,3.9,1.59,4.15,2.16,4.7,0.98,43
dirty,All,590,3.08,2.05,4.88,2.29,4.7,2.12,36
dirty,Male,590,3.88,2.44,5.21,2.75,4.83,2.5,36
dirty,Female,590,2.35,1.26,4.58,1.77,4.58,1.75,36
disappoint,All,120,2.39,1.44,4.92,2.64,3.29,2.32,.
disappoint,Male,120,2.6,1.5,4.6,2.59,3.53,2.2,.
disappoint,Female,120,2.26,1.42,5.13,2.72,3.13,2.44,.
disaster,All,121,1.73,1.13,6.33,2.7,3.52,2.42,26
disaster,Male,121,2.25,1.33,6.05,2.54,3.65,1.9,26
disaster,Female,121,1.2,0.52,6.6,2.89,3.4,2.89,26
discomfort,All,726,2.19,1.23,4.17,2.44,3.86,2.26,7
discomfort,Male,726,2.41,1.5,3.73,2.29,3.68,2.57,7
discomfort,Female,726,1.95,0.83,4.65,2.56,4.05,1.9,7
discouraged,All,122,3.0,2.16,4.53,2.11,3.61,2.01,15
discouraged,Male,122,3.0,1.0,4.0,2.33,3.2,1.52,15
discouraged,Female,122,3.0,2.68,4.87,1.94,3.87,2.26,15
disdainful,All,123,3.68,1.9,5.04,2.14,4.55,1.92,2
disdainful,Male,123,3.93,1.71,4.67,1.76,4.87,1.81,2
disdainful,Female,123,3.56,2.0,5.22,2.3,4.41,1.98,2
disgusted,All,124,2.45,1.41,5.42,2.59,4.34,1.94,6
disgusted,Male,124,2.6,1.45,4.47,2.47,4.8,1.66,6
disgusted,Female,124,2.35,1.4,6.04,2.51,4.04,2.08,6
disloyal,All,125,1.93,1.61,6.56,2.21,3.79,2.75,2
disloyal,Male,125,2.38,1.5,5.82,2.63,4.81,2.46,2
disloyal,Female,125,1.65,1.65,7.04,1.78,3.15,2.77,2
displeased,All,126,2.79,2.23,5.64,2.48,4.19,2.19,7
displeased,Male,126,2.76,2.17,4.81,2.4,4.75,1.98,7
displeased,Female,126,2.81,2.32,6.15,2.43,3.85,2.27,7
distressed,All,127,1.94,1.1,6.4,2.38,3.76,2.41,4
distressed,Male,127,2.0,0.63,6.42,2.15,5.0,1.9,4
distressed,Female,127,1.91,1.28,6.39,2.54,3.17,2.44,4
disturb,All,727,3.66,2.0,5.8,2.39,4.55,1.9,10
disturb,Male,727,3.67,1.75,5.72,1.96,4.06,1.35,10
disturb,Female,727,3.65,2.19,5.85,2.68,4.88,2.16,10
diver,All,510,6.45,1.55,5.04,2.1,5.04,1.91,1
diver,Male,510,6.6,1.63,4.96,2.49,5.2,1.91,1
diver,Female,510,6.31,1.49,5.12,1.68,4.88,1.93,1
divorce,All,128,2.22,1.88,6.33,2.71,3.26,2.24,29
divorce,Male,128,2.4,1.85,5.3,2.98,3.75,2.47,29
divorce,Female,128,2.08,1.94,7.16,2.19,2.88,2.01,29
doctor,All,129,5.2,2.54,5.86,2.7,4.89,2.75,100
doctor,Male,129,4.67,2.29,5.53,2.64,5.07,2.63,100
doctor,Female,129,5.48,2.65,6.04,2.76,4.79,2.85,100
dog,All,511,7.57,1.66,5.76,2.5,6.25,2.1,75
dog,Male,511,7.68,1.65,5.4,2.99,6.44,2.08,75
dog,Female,511,7.46,1.7,6.12,1.93,6.08,2.13,75
doll,All,728,6.09,1.96,4.24,2.43,4.61,2.07,10
