Word,Gender,WdNum,ValMn,ValSd,AroMn,AroSD,DomMN,DomSD,Frequency
alert,Female,11,6.69,1.72,7.0,2.51,5.5,2.55,33
alien,All,633,5.6,1.82,5.45,2.15,4.64,2.07,16
alien,Male,633,6.36,1.65,5.77,1.93,4.32,2.1,16
alien,Female,633,4.75,1.65,5.1,2.38,5.0,2.03,16
alimony,All,634,3.95,2.0,4.3,2.29,4.63,2.3,2
alimony,Male,634,3.21,1.55,3.67,2.13,4.0,2.0,2
alimony,Female,634,4.62,2.16,5.14,2.1,5.18,2.44,2
alive,All,635,7.25,2.22,5.5,2.74,6.39,2.15,57
alive,Male,635,6.6,2.48,5.35,2.72,6.8,1.94,57
alive,Female,635,7.79,1.86,5.62,2.81,6.04,2.29,57
allergy,All,636,3.07,1.64,4.64,2.34,3.21,1.77,1
allergy,Male,636,3.2,1.79,4.6,2.23,2.95,1.93,1
allergy,Female,636,2.95,1.53,4.68,2.48,3.45,1.63,1
alley,All,637,4.48,1.97,4.91,2.42,4.0,1.7,8
alley,Male,637,4.76,1.76,4.62,1.91,4.38,1.28,8
alley,Female,637,4.19,2.16,5.43,2.66,3.64,1.99,8
alone,All,12,2.41,1.77,4.83,2.66,3.7,2.42,195
alone,Male,12,3.07,2.34,4.13,2.72,3.87,2.45,195
alone,Female,12,2.1,1.35,5.16,2.62,3.61,2.45,195
aloof,All,13,4.9,1.92,4.28,2.1,4.69,1.92,5
aloof,Male,13,5.24,1.92,3.88,1.8,4.82,1.67,5
aloof,Female,13,4.68,1.93,4.54,2.27,4.6,2.1,5
ambition,All,14,7.04,1.98,5.61,2.92,6.93,2.07,19
ambition,Male,14,5.95,1.99,5.85,2.7,6.2,2.26,19
ambition,Female,14,7.88,1.53,5.42,3.13,7.5,1.75,19
ambulance,All,15,2.47,1.5,7.33,1.96,3.22,2.29,6
ambulance,Male,15,3.0,1.33,6.6,1.78,3.8,2.49,6
ambulance,Female,15,2.27,1.54,7.62,1.98,3.0,2.23,6
angel,All,16,7.53,1.58,4.83,2.63,4.97,2.34,18
angel,Male,16,6.8,2.35,5.3,2.83,4.4,2.07,18
angel,Female,16,7.81,1.1,4.65,2.59,5.19,2.43,18
anger,All,17,2.34,1.32,7.63,1.91,5.5,2.82,48
anger,Male,17,2.87,1.25,6.73,2.31,5.47,2.23,48
anger,Female,17,2.0,1.28,8.22,1.35,5.52,3.19,48
angry,All,18,2.85,1.7,7.17,2.07,5.55,2.74,45
angry,Male,18,3.87,1.55,6.67,2.09,6.21,2.81,45
angry,Female,18,2.27,1.51,7.46,2.04,5.19,2.68,45
anguished,All,19,2.12,1.56,5.33,2.69,3.45,2.37,2
anguished,Male,19,2.7,1.89,4.45,2.33,3.7,2.18,2
anguished,Female,19,1.55,0.83,6.2,2.8,3.2,2.59,2
ankle,All,638,5.27,1.54,4.16,2.03,4.77,1.74,8
ankle,Male,638,5.63,1.42,4.53,2.09,4.68,1.95,8
ankle,Female,638,5.0,1.6,4.04,1.86,4.84,1.6,8
annoy,All,20,2.74,1.81,6.49,2.17,5.09,2.04,2
annoy,Male,20,3.0,1.41,6.5,1.45,5.09,1.58,2
annoy,Female,20,2.61,1.99,6.48,2.5,5.09,2.25,2
answer,All,639,6.63,1.68,5.41,2.43,5.85,1.88,152
answer,Male,639,7.0,1.7,5.68,2.21,6.11,2.21,152
answer,Female,639,6.32,1.64,5.18,2.63,5.64,1.56,152
anxious,All,21,4.81,1.98,6.92,1.81,5.33,1.82,29
anxious,Male,21,4.8,1.93,6.7,2.06,5.8,1.81,29
anxious,Female,21,4.81,2.04,7.0,1.74,5.15,1.83,29
applause,All,640,7.5,1.5,5.8,2.79,6.48,2.11,14
applause,Male,640,7.33,1.37,5.83,2.57,6.89,1.91,14
applause,Female,640,7.62,1.6,5.77,2.98,6.19,2.23,14
appliance,All,641,5.1,1.21,4.05,2.06,5.05,1.34,5
appliance,Male,641,5.05,1.62,4.23,2.33,5.09,1.6,5
appliance,Female,641,5.15,0.49,3.85,1.76,5.0,1.03,5
arm,All,642,5.34,1.82,3.59,2.4,5.07,1.5,94
arm,Male,642,5.5,1.79,4.4,2.74,5.05,2.01,94
arm,Female,642,5.21,1.86,2.92,1.89,5.08,0.97,94
army,All,23,4.72,1.75,5.03,2.03,5.03,2.45,132
army,Male,23,4.9,1.52,4.65,2.01,5.2,2.38,132
army,Female,23,4.55,1.99,5.42,2.04,4.85,2.58,132
